"item","itemLabel","yob","yod","occupationLabel","citizenLabel","birthcountryLabel"
"http://www.wikidata.org/entity/Q3635399","Bartolomeo Panciatichi",1507,1582,"politician","","France"
"http://www.wikidata.org/entity/Q3635399","Bartolomeo Panciatichi",1507,1582,"banker","","France"
"http://www.wikidata.org/entity/Q3103711","Georges de Selve",1508,1541,"diplomat","France","France"
"http://www.wikidata.org/entity/Q3103711","Georges de Selve",1508,1541,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3103711","Georges de Selve",1508,1541,"translator","France","France"
"http://www.wikidata.org/entity/Q4302820","Charles de Mornay",1514,1574,"politician","","France"
"http://www.wikidata.org/entity/Q964196","Odet de Coligny",1517,1571,"diplomat","France","France"
"http://www.wikidata.org/entity/Q964196","Odet de Coligny",1517,1571,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q590316","Nicolas de Pellevé",1518,1594,"diplomat","France","France"
"http://www.wikidata.org/entity/Q590316","Nicolas de Pellevé",1518,1594,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q6791639","Matthieu Cointerel",1519,1585,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q544166","Charles, Cardinal de Bourbon",1523,1590,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q6005938","Mateo Salado",1526,1573,"","","France"
"http://www.wikidata.org/entity/Q1651798","Philippe de Lenoncourt",1527,1592,"prelate","France","France"
"http://www.wikidata.org/entity/Q596564","Hugues Loubenx de Verdalle",1531,1595,"cardinal","France","France"
"http://www.wikidata.org/entity/Q596564","Hugues Loubenx de Verdalle",1531,1595,"warrior monk","France","France"
"http://www.wikidata.org/entity/Q2856878","Antoine de Créqui Canaples",1531,1574,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q18021164","Jean Temporal",1535,1570,"translator","France","France"
"http://www.wikidata.org/entity/Q18021164","Jean Temporal",1535,1570,"publisher","France","France"
"http://www.wikidata.org/entity/Q2863243","Arnaud d'Ossat",1536,1604,"diplomat","France","France"
"http://www.wikidata.org/entity/Q2863243","Arnaud d'Ossat",1536,1604,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q2863243","Arnaud d'Ossat",1537,1604,"diplomat","France","France"
"http://www.wikidata.org/entity/Q2863243","Arnaud d'Ossat",1537,1604,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3170686","Jean Belmain",1546,1559,"theologian","France","France"
"http://www.wikidata.org/entity/Q19365566","Adam Richard de la Chapelle",1550,1636,"military personnel","Sweden","France"
"http://www.wikidata.org/entity/Q6170294","Jean Bontemps",1550,1572,"privateer","","France"
"http://www.wikidata.org/entity/Q6170294","Jean Bontemps",1550,1572,"pirate","","France"
"http://www.wikidata.org/entity/Q2959407","Charles II de Bourbon-Vendôme",1562,1594,"prelate","France","France"
"http://www.wikidata.org/entity/Q108506262","Guillema Font",1565,1619,"witch","","France"
"http://www.wikidata.org/entity/Q108506262","Guillema Font",1565,1619,"washerwoman","","France"
"http://www.wikidata.org/entity/Q234911","Gabrielle d'Estrées",1570,1599,"marquess","Kingdom of France","France"
"http://www.wikidata.org/entity/Q3263549","Louis de Pontis",1583,1670,"writer","France","France"
"http://www.wikidata.org/entity/Q220201","Jacqueline de Bueil",1588,1651,"mistress","France","France"
"http://www.wikidata.org/entity/Q431327","Antonietta Gonsalvus",1588,1700,"","France","France"
"http://www.wikidata.org/entity/Q87265653","Claude de Laval",1589,1646,"military personnel","Sweden","France"
"http://www.wikidata.org/entity/Q87265653","Claude de Laval",1589,1646,"Q49095494","Sweden","France"
"http://www.wikidata.org/entity/Q38260916","Nicholas de Courville",1590,1634,"military personnel","","France"
"http://www.wikidata.org/entity/Q3263543","Louis de Nogaret de La Valette d'Épernon",1593,1639,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q747321","Melchior Tavernier (II)",1594,1665,"engraver","France","France"
"http://www.wikidata.org/entity/Q747321","Melchior Tavernier (II)",1594,1665,"print publisher","France","France"
"http://www.wikidata.org/entity/Q747321","Melchior Tavernier (II)",1594,1665,"mapseller","France","France"
"http://www.wikidata.org/entity/Q747321","Melchior Tavernier (II)",1594,1665,"print seller","France","France"
"http://www.wikidata.org/entity/Q445780","Claude de Mesmes, comte d'Avaux",1595,1650,"diplomat","France","France"
"http://www.wikidata.org/entity/Q3132291","Henri de La Ferté-Senneterre",1599,1681,"politician","France","France"
"http://www.wikidata.org/entity/Q36873552","Jean Boisseau",1600,1657,"illuminator","France","France"
"http://www.wikidata.org/entity/Q36873552","Jean Boisseau",1600,1657,"cartographer","France","France"
"http://www.wikidata.org/entity/Q36873552","Jean Boisseau",1600,1657,"print publisher","France","France"
"http://www.wikidata.org/entity/Q47509642","Jaume Cendrat",1600,1589,"printer","","France"
"http://www.wikidata.org/entity/Q2856748","Antoine Singlin",1607,1664,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q2856748","Antoine Singlin",1607,1664,"confessor","France","France"
"http://www.wikidata.org/entity/Q969658","Charles Gonzaga",1609,1631,"duke","","France"
"http://www.wikidata.org/entity/Q3510267","Sébastien Pontault de Beaulieu",1612,1674,"engineer","France","France"
"http://www.wikidata.org/entity/Q3510267","Sébastien Pontault de Beaulieu",1612,1674,"geographer","France","France"
"http://www.wikidata.org/entity/Q3510267","Sébastien Pontault de Beaulieu",1612,1674,"publisher","France","France"
"http://www.wikidata.org/entity/Q7357799","Roger Amidon",1614,1673,"","","France"
"http://www.wikidata.org/entity/Q1685968","Jean de la Vallée",1620,1696,"architect","Sweden","France"
"http://www.wikidata.org/entity/Q41728603","Jacques Morel",1620,1687,"bookbinder","","France"
"http://www.wikidata.org/entity/Q28910584","Antoinette Wibe",1624,1726,"","Norway","France"
"http://www.wikidata.org/entity/Q3387829","Pierre le Picard",1624,1679,"privateer","","France"
