"id","bdate","ddate","lifespan","data","name","seats"
"A002047",451,550,99,"ddm","常景",NA
"A002048",507,551,44,"ddm","元寶炬",NA
"A002049",436,535,99,"ddm","長孫稚",NA
"A002050",511,535,24,"ddm","元修",NA
"A002051",495,537,42,"ddm","斛斯椿",NA
"A002054",449,522,73,"ddm","崔光",NA
"A002055",507,556,49,"ddm","宇文泰",NA
"A002057",636,728,92,"ddm","攘那跋陀羅",NA
"A002060",513,572,59,"ddm","宇文護",NA
"A002068",402,455,53,"ddm","蕭思話",NA
"A002075",576,637,61,"ddm","道基",NA
"A002076",1093,1185,92,"ddm","釋道元",NA
"A002085",1215,1294,79,"ddm","忽必烈",NA
"A002086",1275,1325,50,"ddm","王璋",NA
"A002087",1286,1320,34,"ddm","孛兒只斤愛育黎拔力八達",NA
"A002088",1107,1187,80,"ddm","趙構",NA
"A002097",366,416,50,"ddm","姚興",NA
"A002098",464,549,85,"ddm","蕭衍",NA
"A002099",624,705,81,"ddm","武曌",NA
"A002100",656,710,54,"ddm","李顯",NA
"A002103",233,297,64,"ddm","陳壽",NA
"A002105",430,464,34,"ddm","劉駿",NA
"A002109",644,713,69,"ddm","李嶠",NA
"A002110",654,719,65,"ddm","韋嗣立",NA
"A002111",664,713,49,"ddm","盧藏用",NA
"A002115",579,648,69,"ddm","房玄齡",NA
"A002117",675,728,53,"ddm","楊慎交",NA
"A002119",543,608,65,"ddm","曇遷",NA
"A002120",778,820,42,"ddm","李純",NA
"A002130",700,799,99,"ddm","慧超",NA
"A002137",933,996,63,"ddm","張洎",NA
"A002146",628,683,55,"ddm","李治",NA
"A002147",-156,-87,69,"ddm","劉徹",NA
"A002148",-154,-93,61,"ddm","東方朔",NA
"A002151",403,444,41,"ddm","劉義慶",NA
"A002153",341,365,24,"ddm","司馬丕",NA
"A002158",467,499,32,"ddm","元宏",NA
"A002159",524,551,27,"ddm","元善見",NA
"A002160",-1152,-1056,96,"ddm","姬昌",NA
"A002161",-53,18,71,"ddm","揚雄",NA
"A002169",182,252,70,"ddm","孫權",NA
"A002172",204,273,69,"ddm","韋昭",NA
"A002173",224,253,29,"ddm","孫和",NA
"A002174",-551,-479,72,"ddm","孔丘",NA
"A002175",242,284,42,"ddm","孫皓",NA
"A002178",229,328,99,"ddm","蘇峻",NA
"A002179",292,346,54,"ddm","何充",NA
"A002180",220,318,98,"ddm","趙誘",NA
"A002181",314,371,57,"ddm","孫綽",NA
"A002193",320,387,67,"ddm","竺法汰",NA
"A002198",203,282,79,"ddm","朱士行",NA
"A002204",286,374,88,"ddm","竺潛",NA
