Dharma_Drum_Authority_No,Main_Name,Birth,Death
A000910,劉濞,-0216-01-01 ~ -0216-12-31,-0154-01-01 ~ -0154-12-31
A000911,劉戊,-0215-01-01 ~ -0175-12-31,-0154-01-01 ~ -0154-12-31
A000924,徐槐廷,+1800-01-25 ~ +1801-02-12,+1873-01-29 ~ +1874-02-16
A000928,悟卓,+1609-11-15,+1654-01-25
A000931,悟溪宗頓,+1416-01-01 ~ +1416-12-31,+1500-02-09 ~ +1501-01-28
A000933,時蔚,+1303-10-18,+1381-03-03
A000935,書玉,+1645-09-13,+1722-01-01
A000941,浮陀跋摩,+0390 ~ +0438,+0440 ~ +0489
A000942,特芳禪傑,+1419-01-01 ~ +1419-12-31,+1506-02-03 ~ +1507-01-22
A000944,真可,+1543-07-23,+1604-01-17
A000945,真在,+1621-12-31,+1672-11-04
A000946,趙德昌,+0968-01-01 ~ +0968-12-31,+1022-01-01 ~ +1022-12-31
A000953,真盛,+1443-01-01 ~ +1443-12-31,+1495-02-05 ~ +1496-01-24
A000958,真嵩,+1794-10-18,+1868-01-01 ~ +1868-12-31
A000959,真慧,+1434-01-01 ~ +1434-12-31,+1512-01-29 ~ +1513-02-15
A000962,真諦,+0499-01-01 ~ +0499-12-31,+0569-02-14
A000964,真覺,+1537-12-28,+1589-06-21
A000981,祖銘,+1280-01-01 ~ +1280-12-31,+1358-03-10
A000983,祖誾,+1234-01-01 ~ +1234-12-31,+1308-02-01 ~ +1309-02-18
A000984,無盡祖鐙,+1292-01-01 ~ +1292-12-31,+1369-03-25
A000987,神泰,+0601 ~ +0644,+0658 ~ +0702
A000988,神清,+0721,+0820-01-23 ~ +0820-02-17
A000991,翁春,+1736-02-12 ~ +1737-01-30,+1797-01-28 ~ +1798-02-15
A000992,般剌蜜帝,+0656 ~ +0704,+0706 ~ +0755
A000993,般若,+0705 ~ +0744,+0806 ~ +0835
A000994,般若力,+0709 ~ +0757,+0759 ~ +0808
A000996,般若流支,+0476 ~ +0515,+0544 ~ +0583
A001003,馬鳴,+0100-01-01 ~ +0100-12-31,+0160-01-01 ~ +0160-12-31
A001004,高承埏,+1603-01-01 ~ +1603-12-31,+1647-02-05 ~ +1648-01-24
A001005,高峰顯日,+1241-01-01 ~ +1241-12-31,+1316-02-02 ~ +1317-01-21
A001007,高辨,+1173-02-21,+1232-02-11
A001010,行乾,+1602-01-01 ~ +1602-12-31,+1673-09-20
A001012,勒那摩提,+0477,+0569
A001013,曼陀羅仙,+0453 ~ +0502,+0504 ~ +0553
A001019,窺基,+0632-01-01 ~ +0632-12-31,+0682-12-20
A001026,寂友,+0641 ~ +0689,+0693 ~ +0742
A001028,寂光,+1580-01-01 ~ +1580-12-31,+1645-07-26
A001030,寂室元光,+1290-06-30,+1367-10-03
A001032,行端,+1255-04-01,+1341-09-23
A001037,崇岳,+1132-01-01 ~ +1132-12-31,+1202-08-29
