"name","birth","death","lifespan","occupation","country","id","dataset"
"Pierre Rainssant",1640,1689,49,"scientist","France","http://www.wikidata.org/entity/Q3386745","wikidata"
"Hilaire Bernard de La Rivière",1640,1729,89,"architect","France","http://www.wikidata.org/entity/Q5760724","wikidata"
"Pierre de Montesquiou d'Artagnan",1640,1725,85,"military personnel","France","http://www.wikidata.org/entity/Q795589","wikidata"
"Louis de Duras, 2nd Earl of Feversham",1641,1709,68,"politician","France","http://www.wikidata.org/entity/Q2915948","wikidata"
"Cardinal de Bouillon",1643,1715,72,"diplomat","France","http://www.wikidata.org/entity/Q1338441","wikidata"
"Jean Bochart de Champigny",1645,1720,75,"politician","France","http://www.wikidata.org/entity/Q3170808","wikidata"
"Alphonse Henri of Lorraine, Count of Harcourt",1648,1719,71,"diplomat","France","http://www.wikidata.org/entity/Q3611162","wikidata"
"Anne de Rohan-Chabot",1648,1709,61,"lady-in-waiting","France","http://www.wikidata.org/entity/Q448589","wikidata"
"Louise de Bréville",1648,1673,25,"aristocrat","France","http://www.wikidata.org/entity/Q88319109","wikidata"
"Theodor Giou de Briou",1649,1720,71,NA,"France","http://www.wikidata.org/entity/Q15850626","wikidata"
"Christophe Tassin",1650,1660,10,"architect","France","http://www.wikidata.org/entity/Q17310814","wikidata"
"Hans Stefan Ludwig Albrecht von Piat",1650,1710,60,NA,"France","http://www.wikidata.org/entity/Q21034872","wikidata"
"Stephan Laurenz de La Roque",1650,1742,92,"painter","France","http://www.wikidata.org/entity/Q2343518","wikidata"
"Marquis de St Ruth",1650,1691,41,"military personnel","France","http://www.wikidata.org/entity/Q2750100","wikidata"
"Jacques Bourgeois",1650,1701,51,"physician","France","http://www.wikidata.org/entity/Q3158363","wikidata"
"René-Aubert Vertot",1655,1735,80,"writer","France","http://www.wikidata.org/entity/Q1529470","wikidata"
"Martin Charbonnier",1655,1720,65,"gardener","France","http://www.wikidata.org/entity/Q1903552","wikidata"
"Charles-Gaspard Piot de Langloiserie",1655,1715,60,NA,"France","http://www.wikidata.org/entity/Q72319439","wikidata"
"Louis Remy de la Fosse",1659,1726,67,"architect","France","http://www.wikidata.org/entity/Q1362304","wikidata"
"Joseph-Emmanuel de La Trémoille",1659,1720,61,"diplomat","France","http://www.wikidata.org/entity/Q1706337","wikidata"
"Peter Berchet",1659,1720,61,"engraver","France","http://www.wikidata.org/entity/Q18530587","wikidata"
"René Montaigu",1661,1737,76,"actor","France","http://www.wikidata.org/entity/Q12333243","wikidata"
"Pierre Carle",1666,1730,64,"military engineer","France","http://www.wikidata.org/entity/Q50369015","wikidata"
"Michel Maittaire",1668,1747,79,"writer","France","http://www.wikidata.org/entity/Q1478736","wikidata"
"Henri Oswald de La Tour d'Auvergne",1671,1747,76,"Catholic priest","France","http://www.wikidata.org/entity/Q3131726","wikidata"
"François L'Honoré",1673,1748,75,"printer","France","http://www.wikidata.org/entity/Q28343285","wikidata"
"Henrietta Johnston",1674,1729,55,"painter","France","http://www.wikidata.org/entity/Q5715981","wikidata"
"Pietro Bainville",1674,1749,75,"painter","France","http://www.wikidata.org/entity/Q78157611","wikidata"
"Henry Bellisle",1675,1717,42,"physician","France","http://www.wikidata.org/entity/Q29962461","wikidata"
"Lemau de la Jaisse",1677,1745,68,"writer","France","http://www.wikidata.org/entity/Q3830102","wikidata"
"Pierre Balquerie",1679,1759,80,"diplomat","France","http://www.wikidata.org/entity/Q16159847","wikidata"
"Johann Ritter von Baillou",1679,1758,79,"naturalist","France","http://www.wikidata.org/entity/Q1695987","wikidata"
"Giambattista Dufort",1680,1728,48,"choreographer","France","http://www.wikidata.org/entity/Q1522228","wikidata"
"Henry Reetz",1680,1765,85,"architect","France","http://www.wikidata.org/entity/Q2437822","wikidata"
"François Didot",1689,1757,68,"printer","France","http://www.wikidata.org/entity/Q3084464","wikidata"
"Joseph Bertin",1690,1736,46,"chess player","France","http://www.wikidata.org/entity/Q251996","wikidata"
"Jacques-Christophe Naudot",1690,1762,72,"composer","France","http://www.wikidata.org/entity/Q357575","wikidata"
"Michael Leveilly",1694,1762,68,"architect","France","http://www.wikidata.org/entity/Q1928428","wikidata"
"Charles Louis of Lorraine, Count of Marsan",1696,1755,59,"aristocrat","France","http://www.wikidata.org/entity/Q3659548","wikidata"
"Charles Antoine de La Roche-Aymon",1697,1777,80,"Catholic priest","France","http://www.wikidata.org/entity/Q661987","wikidata"
"Anne Julie de Melun",1698,1724,26,"governess","France","http://www.wikidata.org/entity/Q2056633","wikidata"
"François Chauvon",1700,1740,40,"composer","France","http://www.wikidata.org/entity/Q1450972","wikidata"
"William Delacour",1700,1767,67,"painter","France","http://www.wikidata.org/entity/Q15431709","wikidata"
"David Dumoulin",1700,1800,100,"ballet dancer","France","http://www.wikidata.org/entity/Q16647360","wikidata"
"Julien Bordier",1700,1700,0,"chronicler","France","http://www.wikidata.org/entity/Q18011955","wikidata"
"Charles Baton",1700,1758,58,"musician","France","http://www.wikidata.org/entity/Q28960865","wikidata"
"Augustyn Mirys",1700,1790,90,"painter","France","http://www.wikidata.org/entity/Q3374325","wikidata"
"Alexandre Roussel",1701,1728,27,"preacher","France","http://www.wikidata.org/entity/Q1670235","wikidata"
"Antoine Clériadus de Choiseul-Beaupré",1707,1774,67,"Catholic priest","France","http://www.wikidata.org/entity/Q367103","wikidata"
"Maria Henriette de La Tour d'Auvergne",1708,1728,20,NA,"France","http://www.wikidata.org/entity/Q3847326","wikidata"
"Pierre Frédéric de la Croix",1709,1782,73,"painter","France","http://www.wikidata.org/entity/Q2477411","wikidata"
"Jean-Baptiste de Belloy",1709,1808,99,"politician","France","http://www.wikidata.org/entity/Q970505","wikidata"
"Pierre-Charles Canot",1710,1777,67,"engraver","France","http://www.wikidata.org/entity/Q15433971","wikidata"
"Jean-Robert Ango",1710,1773,63,"drawer","France","http://www.wikidata.org/entity/Q28105288","wikidata"
"Jacques-Antoine Baratier",1712,1783,71,"writer","France","http://www.wikidata.org/entity/Q30902199","wikidata"
"Marie Sophie de Courcillon",1713,1756,43,"salonnière","France","http://www.wikidata.org/entity/Q3847883","wikidata"
"John Drummond, 4th Duke of Perth",1714,1747,33,NA,"France","http://www.wikidata.org/entity/Q7619173","wikidata"
"Sophie de Lafont",1717,1797,80,"lady-in-waiting","France","http://www.wikidata.org/entity/Q4255289","wikidata"
"Louis-Thomas of Borbón-Condé Valois",1718,1799,81,NA,"France","http://www.wikidata.org/entity/Q5982610","wikidata"
"John Devoto",1719,1776,57,"painter","France","http://www.wikidata.org/entity/Q18878375","wikidata"
"Charles Philippe Aubry",1720,1770,50,"soldier","France","http://www.wikidata.org/entity/Q2959987","wikidata"
"Jean-François de Sompsois",1720,1808,88,"painter","France","http://www.wikidata.org/entity/Q3165881","wikidata"
"Jean-Armand de Bessuéjouls Roquelaure",1721,1818,97,"Catholic priest","France","http://www.wikidata.org/entity/Q454900","wikidata"
"Louis-Joseph de Montmorency-Laval",1724,1808,84,"Catholic priest","France","http://www.wikidata.org/entity/Q1373411","wikidata"
"Jacques Garrigan",1725,1790,65,"bookseller","France","http://www.wikidata.org/entity/Q16841629","wikidata"
"Étienne Laclotte",1728,1812,84,"architect","France","http://www.wikidata.org/entity/Q3592230","wikidata"
"Madeleine Touros d'Heinze",1729,1810,81,"military personnel","France","http://www.wikidata.org/entity/Q15436832","wikidata"
"Charles Bechon",1732,1812,80,"illuminator","France","http://www.wikidata.org/entity/Q18634089","wikidata"
"Benoit-Louis Henriquez",1732,1806,74,"engraver","France","http://www.wikidata.org/entity/Q4066896","wikidata"
"Jacques de Catuélan",1733,1790,57,"translator","France","http://www.wikidata.org/entity/Q21099329","wikidata"
"Charles de Broglie",1733,1777,44,"prelate","France","http://www.wikidata.org/entity/Q2960538","wikidata"
"François-Charles Joullain",1734,1799,65,"art dealer","France","http://www.wikidata.org/entity/Q15435688","wikidata"
"Louis Messance",1734,1796,62,"demographer","France","http://www.wikidata.org/entity/Q20750861","wikidata"
"Jean-Baptiste Jude Charpentier",1740,1800,60,"grammarian","France","http://www.wikidata.org/entity/Q4520726","wikidata"
